file;numberOfTgds;replicateNum;minBodySize;maxBodySize;minHeadPredicateVarNum;maxHeadPredicateVarNum;bodyFreshVarProbability;headFreshVarProbability
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_16945ce2-7a29-4ae2-a926-4eb5432df1b1.xml;10;0;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_cb367ce4-6bd3-4a5a-9d45-1dfe5580851b.xml;10;1;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_50801087-4fd4-4898-9253-b00106d751f3.xml;10;2;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_d00783f6-cdda-4760-8ae9-547c32d933a2.xml;10;3;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_bdb4bf99-b20f-4d56-af48-55f709c62f90.xml;10;4;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_887c8915-e0f3-4a07-9aec-862da8e9d587.xml;10;5;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_ee363129-e827-4102-904a-222bb1695cc5.xml;10;6;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_267981b6-14c2-42a7-86d9-7f25ccc0d6b1.xml;10;7;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_bb63b54a-1b4b-450d-bf7d-b493aef06ccd.xml;10;8;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_5b430107-6560-41de-8c3c-47057f2812ef.xml;10;9;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_05183545-4034-4e19-8132-239a45286e42.xml;10;0;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_4749dac4-6775-41b8-a3ed-ceec9ff5a0f7.xml;10;1;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_8e1e6a6b-86bd-4cbb-8d1b-cfe90a6afe3d.xml;10;2;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_d9d351c9-210e-4b8d-8a4c-418c3aebfdf3.xml;10;3;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_af86c31b-0db3-4716-8a58-2bc94d82a03c.xml;10;4;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_23178f58-69bf-4257-bc55-0f006b4fa4f5.xml;10;5;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_b25ed3ef-a21c-42a8-a5b8-b9d623bdea73.xml;10;6;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_f2b0a690-968e-41ec-9016-80f8ddf34f00.xml;10;7;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_49d0fe16-5b05-4338-9a82-29192b7cf049.xml;10;8;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_d2c05bd8-9b63-497a-8dcf-2d1de3d1f03e.xml;10;9;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_bc0b4569-87c2-4a7f-937c-0330395bb669.xml;10;0;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_e1a7a8d0-0cf5-42f2-b08e-d07478c78b05.xml;10;1;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_3041801e-f244-4de7-a52b-cab29d48a594.xml;10;2;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_024e2c96-cf58-45eb-8147-053fcd485bac.xml;10;3;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_726aeace-3b8e-4abe-b170-4ec459acfccb.xml;10;4;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_b045ddb6-d5ac-471b-9170-c4993c572353.xml;10;5;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_e1c8b1dd-fe21-4a19-b8d0-495d67b8f32f.xml;10;6;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_39561df8-0800-49d0-a86f-299fe5bb1c1b.xml;10;7;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_38e77029-d9b5-49d8-ac15-a936a78f871e.xml;10;8;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_95e43880-4367-4f64-b17c-a45a2644ae32.xml;10;9;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_fbe3c73d-84f8-458b-b939-79fd7e45aba6.xml;10;0;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_3aca60b3-661c-4c7f-af39-1be7b9e4747b.xml;10;1;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_5f26962e-efd6-4471-85b9-f0d97d9b930f.xml;10;2;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_4fc9040b-29d5-411a-aa68-4be993ade575.xml;10;3;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_f5b615cc-b2fd-41e2-9d1b-73cb3d784bae.xml;10;4;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_4b7258b3-6095-47b0-b22f-ed9c1692752e.xml;10;5;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_cb154661-d7b7-4e05-a05d-432c80e5c3a9.xml;10;6;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_ab609a7b-a4f4-4f30-8568-fd9385a89df0.xml;10;7;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_c0e060fb-c19c-4ca2-bb43-a5fc3ac88fdb.xml;10;8;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_70121cb1-5782-4d67-aad8-5828fd450bff.xml;10;9;1;9;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_d43e0ecc-6516-457c-9003-458498567aec.xml;15;0;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_56dbbace-9a47-47a0-988a-44c218e8cd50.xml;15;1;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_1fa65afb-a3bc-4f77-a3de-afa50823b0e2.xml;15;2;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_809444eb-b34e-41da-8d49-89721aa708e1.xml;15;3;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_eca0f951-1f3b-4105-89fd-95e7aabba763.xml;15;4;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_48db19ae-2827-447f-a5f7-2c202516452c.xml;15;5;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_8324b9f2-d446-4416-b593-a4c582f2e2ba.xml;15;6;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_ce7c6d29-7f83-42f7-953a-11bf9cd90e8e.xml;15;7;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_563875ac-0c85-4a66-bfd9-5fcac09b2c43.xml;15;8;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_3fcd54dc-c941-4045-b63b-7bf7c149f9ca.xml;15;9;1;3;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_1b89e513-f436-4b0d-b9a5-b26a10ca1851.xml;15;0;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_54e7126f-48fd-4392-803f-9f48a3d4f6d0.xml;15;1;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_58d7d2f2-5ea2-4536-9560-484adebb1274.xml;15;2;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_84f80c02-4b11-4ebe-b5e5-f0cd0f3ad910.xml;15;3;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_3d434bbd-46a1-4214-9935-4d053b8f2c23.xml;15;4;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_c1d87034-b217-4e17-a41d-16af80fe6161.xml;15;5;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_0c5e78c4-e97c-486b-807a-7b375365c254.xml;15;6;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_54931ef8-bbd5-48c6-a3bb-34eea6419a52.xml;15;7;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_2c5efe19-7115-4304-8d2a-d3b114d99ed2.xml;15;8;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_7324a63c-eac3-4e76-a5c2-fe5dbc50b7f5.xml;15;9;1;5;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_7e7b378c-21da-4a46-a9a5-24171041cd63.xml;15;0;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_d5f279b8-7c89-4d3f-839e-5a7217dd841a.xml;15;1;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_f5e26359-f53f-44a7-9165-615325cf964b.xml;15;2;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_3194b4ab-4679-4a0b-b730-f9864420f79e.xml;15;3;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_d7bdc091-d01e-4f1f-8608-63e57cdb43c9.xml;15;4;1;7;5;8;0.5;0
./benchSchemas/7bdfedad-db6c-4379-ab5e-360b10e02467/Sch_00369a77-a54f-4aa0-9c35-62e98ecf0257.xml;15;5;1;7;5;8;0.5;0
